rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size
201–250,Ruhr University BochumGermany,43004,61.1,13%,49 : 51,48.3,36.6,42.9,62.3,73.2,52.3,large
201–250,University of South AustraliaAustralia,17575,25.8,41%,62 : 38,48.3,31.5,36.3,63.3,81.6,91.8,large
201–250,"St George’s, University of LondonUnited Kingdom",3174,14.9,17%,62 : 38,49.6,21.4,23.4,100.0,35.3,69.9,small
201–250,University of StuttgartGermany,26059,53.2,18%,31 : 69,50.6,41.1,48.8,60.0,68.8,52.6,large
201–250,University of TampereFinland,9360,22.2,3%,66 : 34,48.3,25.8,32.4,88.2,51.5,41.6,medium
201–250,Technical University of DarmstadtGermany,17776,44.5,16%,30 : 70,48.5,39.2,43.7,57.2,95.9,54.3,large
201–250,"University of Technology, SydneyAustralia",25256,43.6,37%,53 : 47,50.9,29.7,40.5,71.7,51.0,94.2,large
201–250,Tel Aviv UniversityIsrael,22973,23.1,4%,54 : 46,50.7,41.5,52.1,59.4,42.7,49.5,large
201–250,University of Texas at DallasUnited States,22967,25.4,25%,43 : 57,48.8,25.7,29.4,89.8,41.5,57.7,large
201–250,Tohoku UniversityJapan,17494,5.5,10%,26 : 74,48.3,49.6,50.6,46.5,68.3,34.7,large
201–250,Ulsan National Institute of Science and TechnologySouth Korea,4046,14.3,7%,28 : 72,50.1,22.9,30.7,95.9,66.0,47.9,small
201–250,University College DublinIreland,21605,23.0,26%,,49.9,29.2,37.5,74.0,38.1,89.3,large
201–250,University of UtahUnited States,30040,14.5,10%,45 : 55,51.6,37.2,34.1,88.5,46.1,33.0,large
201–250,Vita-Salute San Raffaele UniversityItaly,2598,7.1,5%,58 : 42,50.3,34.0,23.1,96.3,32.8,45.7,small
201–250,University of WaterlooCanada,32000,26.1,17%,46 : 54,51.2,35.7,41.7,69.8,42.6,80.0,large
201–250,Western UniversityCanada,28996,22.0,17%,55 : 45,51.0,41.8,36.1,68.8,55.7,75.2,large
201–250,Yonsei University (Seoul campus)South Korea,18038,14.7,21%,45 : 55,50.0,48.6,50.2,46.1,99.2,54.6,large
251–300,Aix-Marseille UniversityFrance,66623,16.8,12%,58 : 42,45.2,40.2,22.4,70.0,34.4,60.7,large
251–300,University of BathUnited Kingdom,12513,16.3,32%,45 : 55,47.4,33.9,31.7,67.3,36.0,88.3,medium
251–300,University of BayreuthGermany,12917,37.9,8%,45 : 55,46.6,34.4,34.1,67.8,62.7,54.7,medium
251–300,Bielefeld UniversityGermany,23683,66.8,8%,57 : 43,46.1,36.9,42.0,58.6,54.5,46.3,large
251–300,University of BremenGermany,19040,34.2,11%,50 : 50,45.9,36.4,36.5,63.2,45.7,52.1,large
251–300,University at BuffaloUnited States,25247,17.7,18%,45 : 55,46.9,38.8,28.5,69.8,44.7,62.5,large
251–300,Clark UniversityUnited States,3316,11.7,26%,60 : 40,47.6,23.7,23.7,93.4,32.6,60.0,small
251–300,University of Colorado DenverUnited States,15491,5.0,8%,55 : 45,46.2,30.2,18.0,95.1,42.0,29.0,large
251–300,Colorado School of MinesUnited States,5557,17.6,11%,28 : 72,47.1,33.6,26.8,81.7,55.5,41.3,medium
251–300,Dalhousie UniversityCanada,15201,14.9,20%,55 : 45,46.0,26.6,28.3,74.3,41.5,82.4,large
251–300,École des Ponts ParisTechFrance,1749,12.3,41%,30 : 70,46.5,38.1,16.9,74.9,63.3,79.4,small
251–300,University of EssexUnited Kingdom,10986,16.5,43%,55 : 45,46.5,33.4,32.0,62.8,32.5,95.8,medium
251–300,Goethe University FrankfurtGermany,45387,13.3,15%,58 : 42,45.6,32.5,27.8,73.4,38.6,60.7,large
251–300,Griffith UniversityAustralia,31772,22.3,19%,56 : 44,46.4,23.4,29.8,77.7,40.7,82.0,large
251–300,University of HohenheimGermany,9557,42.9,13%,56 : 44,45.2,34.9,28.8,70.0,50.3,51.7,medium
251–300,University of Illinois at ChicagoUnited States,25450,11.4,19%,52 : 48,47.8,42.1,31.6,68.2,42.1,56.2,large
251–300,Indian Institute of ScienceIndia,3550,8.4,1%,21 : 79,46.7,53.8,48.6,44.4,49.5,19.5,small
251–300,University of InnsbruckAustria,14530,13.1,39%,54 : 46,45.3,27.5,18.5,77.8,37.5,96.7,medium
251–300,Johannes Gutenberg University of MainzGermany,34219,32.1,10%,59 : 41,47.5,36.4,23.6,79.8,57.5,55.2,large
251–300,Laval UniversityCanada,29322,16.9,13%,57 : 43,47.4,37.7,28.7,70.3,54.7,66.8,large
251–300,Macquarie UniversityAustralia,27955,31.0,22%,54 : 46,47.5,31.3,34.4,70.0,41.0,77.0,large
251–300,University of MarburgGermany,26062,37.4,9%,56 : 44,46.2,35.7,27.7,75.0,36.6,49.9,large
251–300,Medical University of ViennaAustria,7209,2.7,28%,50 : 50,47.7,31.2,13.5,90.2,36.6,84.1,medium
251–300,Moscow Institute of Physics and TechnologyRussian Federation,5761,8.7,12%,20 : 80,48.1,47.7,41.4,50.0,99.9,51.7,medium
251–300,University of NewcastleAustralia,22921,22.0,17%,55 : 45,45.9,28.0,26.9,73.0,62.9,79.9,large
251–300,North Carolina State UniversityUnited States,30254,13.1,13%,45 : 55,46.6,35.6,34.5,68.4,42.5,52.8,large
251–300,Norwegian University of Science and TechnologyNorway,21571,16.9,11%,46 : 54,46.0,30.7,34.6,68.3,42.0,64.9,large
251–300,University of OregonUnited States,23728,18.6,14%,52 : 48,47.3,31.1,30.1,84.7,32.0,37.0,large
251–300,Oregon Health and Science UniversityUnited States,2895,1.0,2%,64 : 36,46.8,32.2,15.1,99.0,44.5,24.4,small
251–300,University of OuluFinland,10287,23.7,6%,50 : 50,46.9,30.2,30.0,79.1,43.2,53.1,medium
251–300,Queen’s UniversityCanada,21227,22.7,12%,57 : 43,47.5,40.0,35.9,61.7,51.0,66.3,large
251–300,University of São PauloBrazil,82258,14.8,4%,48 : 52,45.2,52.9,55.5,31.5,38.1,30.9,large
251–300,Simon Fraser UniversityCanada,26309,27.6,29%,54 : 46,48.2,25.6,33.4,75.6,43.5,90.4,large
251–300,University of Southern DenmarkDenmark,25328,13.5,16%,53 : 47,46.6,21.4,25.3,83.4,68.8,78.1,large
251–300,University of South FloridaUnited States,33053,19.6,12%,,47.8,29.6,35.8,74.4,93.0,46.9,large
251–300,Stony Brook UniversityUnited States,23136,10.4,24%,49 : 51,47.6,33.0,23.8,84.4,33.4,58.7,large
251–300,University of SurreyUnited Kingdom,11027,14.3,38%,53 : 47,46.5,30.3,33.1,64.5,46.3,92.7,medium
251–300,Swansea UniversityUnited Kingdom,13896,16.1,24%,47 : 53,45.3,22.1,25.6,80.4,34.9,79.9,medium
251–300,Swedish University of Agricultural SciencesSweden,3812,4.4,4%,69 : 31,46.6,30.0,27.1,79.3,98.1,42.5,small
251–300,University of the WitwatersrandSouth Africa,25342,24.6,8%,56 : 44,45.6,26.6,23.2,76.5,99.9,69.8,large
251–300,University of WollongongAustralia,16947,27.0,24%,50 : 50,46.7,29.4,33.2,67.1,47.7,88.1,large
301–350,Aberystwyth UniversityUnited Kingdom,7920,18.4,18%,47 : 53,44.5,24.2,25.5,76.7,36.6,74.9,medium
301–350,University of Alaska FairbanksUnited States,3769,8.3,6%,51 : 49,43.1,25.3,23.2,78.3,44.9,52.8,small
301–350,Anglia Ruskin UniversityUnited Kingdom,15197,21.7,25%,62 : 38,44.3,16.7,11.2,99.4,32.6,71.1,large
301–350,Babol Noshirvani University of TechnologyIran,4749,28.6,,32 : 68,43.4,24.8,12.2,99.1,56.1,15.5,small
301–350,Bangor UniversityUnited Kingdom,9327,18.4,25%,55 : 45,43.1,25.7,21.4,72.7,33.4,83.8,medium
301–350,"Birkbeck, University of LondonUnited Kingdom",9014,16.8,39%,54 : 46,44.8,30.5,32.0,62.2,32.4,87.5,medium
301–350,University of BordeauxFrance,52526,21.0,12%,58 : 42,43.4,31.0,22.0,75.2,34.8,54.3,large
301–350,Boston CollegeUnited States,12943,16.1,12%,55 : 45,44.5,37.0,20.0,74.1,43.8,53.8,medium
301–350,Brighton and Sussex Medical SchoolUnited Kingdom,761,12.1,16%,59 : 41,44.8,18.8,12.9,97.0,31.7,72.0,small
301–350,Charles Darwin UniversityAustralia,6551,22.4,32%,63 : 37,44.5,17.9,18.6,88.0,38.8,82.2,medium
301–350,University of ConnecticutUnited States,26669,12.7,12%,51 : 49,43.8,35.7,28.5,66.8,34.6,48.5,large
301–350,Deakin UniversityAustralia,36768,32.9,17%,58 : 42,43.3,23.3,26.6,72.0,36.2,77.7,large
301–350,University of DenverUnited States,9671,13.2,11%,56 : 44,45.1,35.9,29.8,74.4,35.7,28.8,medium
301–350,University of Eastern FinlandFinland,11459,18.3,6%,63 : 37,43.7,25.2,26.1,79.1,36.2,49.3,medium
301–350,Flinders UniversityAustralia,16757,23.9,18%,63 : 37,44.6,22.9,27.6,77.9,39.4,68.4,large
301–350,Free University of Bozen-BolzanoItaly,3304,11.6,12%,33 : 67,43.4,22.0,14.3,88.6,32.1,68.9,small
301–350,George Mason UniversityUnited States,27749,17.5,8%,54 : 46,43.2,28.5,26.4,76.0,33.2,40.8,large
301–350,"Goldsmiths, University of LondonUnited Kingdom",7416,13.9,37%,66 : 34,43.1,33.9,26.0,62.0,31.8,77.0,medium
301–350,Grenoble Alpes UniversityFrance,39298,17.0,15%,57 : 43,44.0,30.9,22.9,74.9,33.8,60.7,large
301–350,University of HoustonUnited States,41128,42.9,10%,50 : 50,43.4,36.8,34.1,60.5,37.8,39.8,large
301–350,Iowa State UniversityUnited States,31307,18.8,12%,45 : 55,43.0,29.1,31.4,65.3,48.6,53.8,large
301–350,University of KentUnited Kingdom,16949,12.7,31%,53 : 47,42.5,25.1,23.6,67.8,32.1,90.2,large
301–350,Khalifa University of Science and TechnologyUnited Arab Emirates,3134,8.3,32%,46 : 54,43.5,23.4,18.7,71.4,84.5,97.9,small
301–350,Koç UniversityTurkey,5172,14.9,10%,52 : 48,43.0,25.7,32.1,65.2,84.3,53.8,medium
301–350,University of LiègeBelgium,21910,27.1,23%,56 : 44,42.9,25.8,33.6,57.9,96.8,71.0,large
301–350,Loughborough UniversityUnited Kingdom,13457,14.9,22%,39 : 61,42.5,34.0,32.9,52.7,38.5,74.8,medium
301–350,Medical University of GrazAustria,3323,6.9,23%,53 : 47,44.5,24.3,15.7,85.8,46.9,74.8,small
301–350,University of MilanItaly,56805,28.1,5%,59 : 41,44.3,34.1,25.9,73.7,42.9,41.4,large
301–350,Nagoya UniversityJapan,15594,7.9,10%,29 : 71,45.0,44.9,47.2,43.2,87.2,29.9,large
301–350,National Tsing Hua UniversityTaiwan,10194,13.8,5%,33 : 67,43.9,38.0,37.1,59.4,54.8,29.0,medium
301–350,University of NavarraSpain,10827,14.9,19%,53 : 47,44.2,27.9,24.5,74.6,63.9,59.7,medium
301–350,University of Nebraska-LincolnUnited States,22578,16.3,12%,47 : 53,43.1,32.4,29.6,65.9,37.9,50.4,large
301–350,Oregon State UniversityUnited States,23668,16.2,10%,47 : 53,44.1,30.1,29.3,72.4,36.5,48.5,large
301–350,Polytechnic University of MilanItaly,33189,23.8,14%,34 : 66,44.1,32.2,31.7,65.0,58.1,53.1,large
301–350,Rensselaer Polytechnic InstituteUnited States,7240,15.7,17%,32 : 68,44.9,28.9,31.8,71.7,67.3,46.2,medium
301–350,Rush UniversityUnited States,2437,2.1,3%,73 : 27,42.9,35.3,12.4,88.2,41.3,14.8,small
301–350,Sapienza University of RomeItaly,111453,32.1,7%,58 : 42,45.1,38.4,34.7,64.1,41.2,38.9,large
301–350,University of StirlingUnited Kingdom,8507,15.1,21%,62 : 38,44.5,24.4,25.7,76.2,33.6,76.7,medium
301–350,University of TartuEstonia,8835,11.6,5%,66 : 34,44.6,24.5,25.3,83.6,33.5,50.4,medium
301–350,University of TasmaniaAustralia,11346,14.5,22%,60 : 40,43.5,24.1,30.8,65.4,51.5,82.2,medium
301–350,TU Dortmund UniversityGermany,32870,99.6,10%,45 : 55,43.3,34.9,31.1,64.0,45.5,42.0,large
301–350,Technion Israel Institute of TechnologyIsrael,14693,21.7,5%,34 : 66,43.6,32.7,34.8,58.6,39.0,64.4,medium
301–350,"University of Tennessee, KnoxvilleUnited States",25264,16.4,5%,,44.2,32.4,21.7,79.2,41.3,42.7,large
301–350,Tomsk Polytechnic UniversityRussian Federation,9858,8.2,24%,36 : 64,44.0,29.0,17.7,81.5,69.7,50.9,medium
301–350,University of VictoriaCanada,18388,22.8,15%,57 : 43,42.5,24.8,21.9,72.2,41.4,76.7,large
301–350,Victoria UniversityAustralia,14795,31.4,20%,54 : 46,42.5,24.1,23.2,73.4,39.5,71.1,medium
301–350,Vienna University of TechnologyAustria,17931,36.5,28%,29 : 71,43.7,37.2,29.2,53.2,67.6,81.1,large
301–350,Virginia Polytechnic Institute and State UniversityUnited States,30975,18.2,11%,43 : 57,45.1,33.5,39.6,65.1,43.8,33.5,large
301–350,Vrije Universiteit BrusselBelgium,12785,22.2,21%,53 : 47,44.1,30.6,25.6,68.7,51.7,71.6,medium
301–350,Washington State UniversityUnited States,27135,19.7,7%,52 : 48,42.9,29.3,27.7,70.3,50.9,45.6,large
351–400,University of AlabamaUnited States,33679,22.2,5%,54 : 46,41.1,30.0,20.6,76.7,33.3,27.7,large
351–400,American UniversityUnited States,11534,11.7,13%,64 : 36,42.3,39.4,23.6,66.8,38.2,32.2,medium
351–400,Aston UniversityUnited Kingdom,8989,20.0,31%,49 : 51,41.8,23.7,26.4,63.3,33.7,92.1,medium
351–400,Autonomous University of MadridSpain,29305,13.4,13%,60 : 40,40.4,33.0,28.1,58.4,34.9,49.0,large
351–400,Brunel University LondonUnited Kingdom,11359,16.0,41%,46 : 54,40.1,28.1,25.4,53.9,36.3,93.1,medium
351–400,University of CanberraAustralia,11438,30.3,28%,52 : 48,40.6,22.9,25.2,68.0,33.6,65.9,medium
351–400,University of CanterburyNew Zealand,11931,16.8,21%,50 : 50,41.2,23.7,26.9,60.9,37.9,90.4,medium
351–400,"City, University of LondonUnited Kingdom",13460,17.2,53%,56 : 44,41.1,26.6,26.7,57.8,33.4,93.0,medium
351–400,Colorado State UniversityUnited States,23921,15.9,6%,53 : 47,42.0,28.7,30.9,67.9,36.7,37.7,large
351–400,University of Côte d’AzurFrance,33839,21.8,23%,55 : 45,40.4,26.4,14.6,70.4,36.7,81.1,large
351–400,University of CreteGreece,14522,26.2,4%,62 : 38,41.5,20.0,17.6,85.9,37.4,47.1,medium
351–400,Curtin UniversityAustralia,31483,18.5,37%,52 : 48,40.1,22.6,23.7,60.6,39.5,94.4,large
351–400,Cyprus University of TechnologyCyprus,3072,18.7,8%,57 : 43,42.1,17.8,13.8,88.6,33.0,69.9,small
351–400,Drexel UniversityUnited States,20714,10.9,18%,49 : 51,40.3,33.6,16.9,68.5,37.4,49.4,large
351–400,Federal University of Toulouse Midi-PyrénéesFrance,98538,24.6,17%,53 : 47,42.1,30.9,25.8,65.4,35.6,61.4,large
351–400,University of GeorgiaUnited States,33842,16.3,7%,58 : 42,41.0,30.1,32.3,60.7,34.3,42.6,large
351–400,Georgia State UniversityUnited States,28593,18.9,6%,69 : 31,40.1,30.9,24.7,65.4,32.1,39.7,large
351–400,Gwangju Institute of Science and TechnologySouth Korea,1731,11.5,6%,25 : 75,40.3,38.6,40.5,40.9,66.8,34.4,small
351–400,Hanyang UniversitySouth Korea,20879,14.6,17%,,41.0,35.6,38.1,41.9,84.7,56.4,large
351–400,Heriot-Watt UniversityUnited Kingdom,9259,16.4,41%,42 : 58,41.7,26.2,21.5,65.2,37.8,92.4,medium
351–400,Higher School of EconomicsRussian Federation,17241,9.5,7%,,41.0,32.8,28.7,61.6,39.4,40.5,large
351–400,Indian Institute of Technology BombayIndia,9870,17.9,1%,17 : 83,41.4,43.1,37.6,47.8,53.4,19.9,medium
351–400,Justus Liebig University GiessenGermany,28201,47.3,9%,61 : 39,41.8,32.8,29.4,61.7,40.2,48.0,large
351–400,University of KansasUnited States,24515,7.2,9%,51 : 49,40.4,36.2,22.7,63.3,39.1,36.7,large
351–400,Kyushu UniversityJapan,18696,7.6,12%,29 : 71,40.0,42.5,40.7,35.7,71.6,33.9,large
351–400,La Trobe UniversityAustralia,20343,34.5,26%,63 : 37,40.4,27.1,33.0,49.8,58.1,79.5,large
351–400,Leibniz University of HanoverGermany,25162,65.3,12%,41 : 59,41.1,37.3,36.9,47.1,56.3,43.7,large
351–400,Linköping UniversitySweden,18740,8.1,11%,53 : 47,40.8,23.4,14.9,78.4,41.9,63.1,large
351–400,University of MacauMacao,9230,14.5,33%,58 : 42,40.0,22.0,26.5,56.7,42.0,98.7,medium
351–400,University of MalayaMalaysia,21990,10.9,18%,66 : 34,40.7,31.2,26.6,54.4,49.5,77.0,large
351–400,Montpellier UniversityFrance,39828,19.9,14%,53 : 47,41.3,34.8,16.7,68.7,35.2,58.7,large
351–400,Örebro UniversitySweden,8800,16.4,2%,61 : 39,40.6,18.6,19.7,83.3,33.1,44.4,medium
351–400,University of PaduaItaly,62218,30.8,4%,55 : 45,41.9,27.4,17.1,81.9,35.8,41.0,large
351–400,University of PaviaItaly,23632,37.2,7%,56 : 44,41.0,24.3,21.9,74.7,54.7,44.8,large
351–400,University of PisaItaly,50810,28.9,4%,52 : 48,40.6,22.4,20.1,80.1,37.3,38.0,large
351–400,Royal Veterinary CollegeUnited Kingdom,1856,10.1,18%,75 : 25,41.3,24.0,18.3,70.8,40.3,84.5,small
351–400,Sabancı UniversityTurkey,3247,20.0,9%,41 : 59,41.8,23.2,35.2,62.1,87.8,46.6,small
351–400,University of SalernoItaly,37230,51.4,1%,60 : 40,40.2,19.1,15.5,87.8,39.4,33.5,large
351–400,University of South CarolinaUnited States,30869,18.2,5%,55 : 45,41.2,33.6,27.8,63.2,33.2,39.8,large
351–400,Stellenbosch UniversitySouth Africa,23207,26.1,8%,54 : 46,41.4,28.3,36.1,60.0,7.3,52.6,large
351–400,University of StrasbourgFrance,41399,16.5,19%,58 : 42,41.5,29.9,20.9,67.2,35.4,69.4,large
351–400,Sun Yat-sen UniversityChina,51089,16.3,9%,51 : 49,42.2,39.9,32.3,55.9,52.0,32.8,large
351–400,Temple UniversityUnited States,33958,11.5,8%,52 : 48,41.8,34.2,19.1,74.6,36.1,34.3,large
351–400,University of TriesteItaly,17054,24.8,8%,56 : 44,41.0,29.6,17.8,75.0,32.5,45.6,large
351–400,Tulane UniversityUnited States,11193,11.0,11%,56 : 44,40.0,39.7,14.7,66.1,35.1,39.5,medium
351–400,University of TurkuFinland,12263,15.7,5%,62 : 38,41.6,25.7,27.6,70.0,33.9,50.3,medium
351–400,University College CorkIreland,15890,21.8,17%,56 : 44,41.8,28.0,26.9,61.0,45.9,78.5,large
351–400,University of VermontUnited StatesApply,10992,8.9,3%,56 : 44,42.2,27.4,20.0,82.8,45.2,26.5,medium
351–400,Université de Versailles Saint-Quentin-en-YvelinesFrance,17323,22.4,14%,59 : 41,40.9,18.4,15.1,85.5,33.9,58.1,large
351–400,University of WaikatoNew Zealand,10019,17.0,27%,56 : 44,40.2,21.0,24.1,63.5,39.1,89.2,medium
351–400,Wayne State UniversityUnited States,22215,10.8,9%,56 : 44,41.1,32.5,16.6,75.1,42.5,36.7,large
351–400,York UniversityCanada,46146,40.8,23%,58 : 42,42.3,30.5,40.9,47.9,37.2,73.9,large
401–500,Auckland University of TechnologyNew Zealand,17861,15.8,42%,59 : 41,36.4,19.7,14.2,60.5,33.5,96.1,large
401–500,University of Bari Aldo MoroItaly,47856,60.5,2%,63 : 37,37.5,25.0,17.9,70.1,38.9,34.7,large
401–500,Bar-Ilan UniversityIsrael,16412,17.5,5%,61 : 39,37.0,27.6,32.7,44.9,59.0,53.3,large
401–500,University of BergamoItaly,16769,55.5,6%,63 : 37,36.6,20.2,20.0,69.6,41.5,34.3,large
401–500,Bilkent UniversityTurkey,10007,14.4,5%,45 : 55,38.5,23.3,20.3,67.1,42.8,55.6,medium
401–500,"Binghamton University, State University of New YorkUnited States",17238,23.7,15%,48 : 52,37.9,23.0,19.5,70.3,34.9,42.9,large
401–500,Boğaziçi UniversityTurkey,11967,26.8,8%,49 : 51,35.0,21.5,21.4,57.3,55.1,47.7,medium
401–500,University of BresciaItaly,14542,26.4,7%,46 : 54,36.0,17.5,15.6,73.9,35.2,40.2,medium
401–500,University of CalabriaItaly,28313,35.1,3%,58 : 42,36.8,16.9,25.2,69.2,32.6,34.3,large
401–500,CentraleSupélecFrance,4226,11.6,33%,22 : 78,37.1,26.3,16.2,56.7,45.0,82.5,small
401–500,Charles University in PragueCzech Republic,50495,13.1,16%,61 : 39,37.2,29.0,22.0,56.3,32.1,55.6,large
401–500,Chung-Ang UniversitySouth Korea,11381,16.1,28%,48 : 52,36.0,37.4,35.6,25.9,77.5,58.2,medium
401–500,Claude Bernard University Lyon 1France,27067,13.0,12%,54 : 46,38.0,23.1,18.2,68.9,37.1,53.3,large
401–500,University of CyprusCyprus,6989,23.1,9%,68 : 32,39.6,20.8,25.0,63.1,48.1,76.8,medium
401–500,Dublin City UniversityIreland,9180,25.5,17%,52 : 48,37.4,27.8,29.0,44.2,48.5,78.5,medium
401–500,University of FlorenceItaly,53112,15.7,7%,60 : 40,35.5,20.5,11.4,73.1,36.3,41.5,large
401–500,Florida International UniversityUnited States,32838,24.4,8%,56 : 44,35.8,28.2,19.5,59.2,35.6,37.4,large
401–500,University of GenoaItaly,35711,27.1,9%,56 : 44,37.6,28.0,16.7,66.6,41.0,42.7,large
401–500,University of GrazAustria,21053,22.9,13%,64 : 36,36.4,23.7,18.3,58.1,32.8,74.0,large
401–500,Graz University of TechnologyAustria,6395,10.2,17%,23 : 77,37.6,26.2,16.3,58.5,69.3,74.7,medium
401–500,University of GreifswaldGermany,10857,20.8,6%,56 : 44,38.2,29.1,20.2,63.6,36.7,46.0,medium
401–500,Hamburg University of TechnologyGermany,7391,55.1,19%,26 : 74,38.6,34.4,23.1,51.6,87.9,48.9,medium
401–500,Hasselt UniversityBelgium,5045,19.0,12%,47 : 53,36.9,23.8,27.1,53.9,48.3,57.2,medium
401–500,Hofstra UniversityUnited States,10001,13.9,10%,56 : 44,36.7,32.9,4.8,74.9,31.7,28.5,medium
401–500,Hokkaido UniversityJapan,18038,8.0,9%,30 : 70,38.4,42.1,40.2,33.1,52.0,32.6,large
401–500,Hong Kong Baptist UniversityHong Kong,11467,11.4,30%,61 : 39,38.0,22.0,13.8,66.9,32.4,84.8,medium
401–500,Huazhong University of Science and TechnologyChina,56140,16.7,5%,35 : 65,36.0,31.2,27.5,50.3,63.9,22.5,large
401–500,University of HullUnited Kingdom,13482,16.6,19%,53 : 47,35.9,24.0,21.5,53.1,34.2,73.1,medium
401–500,Jordan University of Science and TechnologyJordan,23103,12.6,20%,57 : 43,36.0,14.8,7.0,79.4,34.3,64.1,large
401–500,University of JyväskyläFinland,10020,15.8,5%,61 : 39,39.2,28.6,28.2,58.4,33.7,50.0,medium
401–500,University of KaiserslauternGermany,14493,52.5,16%,37 : 63,37.1,34.1,22.8,48.7,73.2,48.5,medium
401–500,Kazan Federal UniversityRussian Federation,25916,10.8,9%,67 : 33,37.1,25.5,16.5,70.9,38.8,30.1,large
401–500,University of KwaZulu-NatalSouth Africa,32023,25.3,5%,59 : 41,37.2,25.0,30.8,49.8,41.2,59.3,large
401–500,Kyung Hee UniversitySouth Korea,23512,17.2,18%,44 : 56,39.7,29.0,37.0,46.0,82.2,54.3,large
401–500,University of LilleFrance,67978,28.1,12%,56 : 44,36.5,21.1,20.9,62.3,37.4,56.5,large
401–500,Louisiana State UniversityUnited States,29533,20.5,6%,52 : 48,39.5,35.1,35.4,52.4,7.7,33.0,large
401–500,Makerere UniversityUganda,36688,28.8,8%,52 : 48,36.8,17.5,11.6,75.8,38.1,58.5,large
401–500,University of ManitobaCanada,29017,28.0,15%,54 : 46,37.7,27.0,27.2,56.9,40.2,45.4,large
401–500,Marche Polytechnic UniversityItaly,16931,24.0,4%,45 : 55,39.1,25.3,14.7,79.8,39.0,29.1,large
401–500,"University of Maryland, Baltimore CountyUnited States",11781,18.8,8%,46 : 54,36.7,23.6,17.0,70.7,33.4,32.8,medium
401–500,Massey UniversityNew Zealand,18688,15.7,29%,62 : 38,35.0,22.5,18.9,48.9,37.6,92.5,large
401–500,Maynooth UniversityIreland,8361,30.6,12%,55 : 45,37.3,23.2,27.6,51.0,36.3,78.1,medium
401–500,Middlesex UniversityUnited Kingdom,14756,18.0,46%,60 : 40,36.1,19.7,15.1,61.2,32.1,87.0,medium
401–500,University of Milan-BicoccaItaly,34245,48.4,7%,61 : 39,39.8,28.4,16.5,73.3,43.1,43.6,large
401–500,University of MissouriUnited States,30535,11.5,6%,53 : 47,36.9,32.0,19.5,59.8,33.1,36.0,large
401–500,University of Modena and Reggio EmiliaItaly,20737,27.8,6%,53 : 47,36.7,18.5,16.8,74.1,40.6,38.0,large
401–500,University of MontanaUnited States,9573,16.6,3%,56 : 44,39.4,34.6,17.7,69.9,33.6,25.6,medium
401–500,Murdoch UniversityAustralia,15526,30.7,48%,58 : 42,38.9,20.4,23.9,58.9,41.5,91.5,large
401–500,University of Naples Federico IIItaly,81056,55.9,,56 : 44,39.4,18.4,24.8,77.5,43.0,28.3,large
401–500,National Chiao Tung UniversityTaiwan,12639,17.7,7%,28 : 72,37.1,34.6,41.1,31.5,89.0,35.8,medium
401–500,National Research Nuclear University MEPhIRussian Federation,7064,7.6,15%,31 : 69,39.6,32.6,25.5,53.1,99.7,49.5,medium
401–500,National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,7981,18.7,13%,32 : 68,38.8,30.4,43.1,39.9,85.1,36.0,medium
401–500,University of Nebraska Medical CenterUnited States,2856,2.4,9%,67 : 33,35.2,34.7,10.6,58.6,36.2,41.2,small
401–500,University of NeuchâtelSwitzerland,4216,8.8,23%,60 : 40,35.2,23.6,20.9,47.4,33.7,90.9,small
401–500,Northern Arizona UniversityUnited States,27227,26.8,5%,58 : 42,39.8,19.7,11.3,91.6,32.1,29.8,large
401–500,Norwegian University of Life SciencesNorway,5723,7.1,22%,58 : 42,36.7,24.0,7.9,68.0,37.3,77.9,medium
401–500,Novosibirsk State UniversityRussian Federation,7242,6.5,18%,51 : 49,36.2,42.9,29.5,34.7,37.9,41.3,medium
401–500,University of OklahomaUnited States,27333,10.6,7%,51 : 49,39.6,32.6,18.6,68.2,38.5,37.2,large
401–500,The Open UniversityUnited Kingdom,67357,33.0,8%,61 : 39,36.2,20.9,16.2,67.6,32.4,53.6,large
401–500,Oxford Brookes UniversityUnited Kingdom,13256,17.9,28%,58 : 42,36.2,31.7,27.2,40.3,32.2,75.3,medium
401–500,University of ParmaItaly,24307,27.6,6%,56 : 44,35.7,18.6,19.0,69.0,37.3,37.3,large
401–500,Plymouth UniversityUnited Kingdom,18336,18.0,15%,52 : 48,38.9,21.5,19.7,68.6,32.3,68.3,large
401–500,Polytechnic University of CataloniaSpain,21581,9.8,12%,27 : 73,35.0,27.1,17.6,55.3,41.6,53.2,large
401–500,Polytechnic University of TurinItaly,30903,29.7,14%,28 : 72,39.7,26.9,20.9,68.6,48.1,48.1,large
401–500,Qatar UniversityQatar,13342,17.6,42%,73 : 27,38.3,19.8,18.3,60.7,46.1,99.8,medium
401–500,Quaid-i-azam UniversityPakistan,13559,26.6,,57 : 43,35.2,21.6,1.3,81.2,31.7,42.1,medium
401–500,Reykjavík UniversityIceland,3206,29.4,6%,59 : 41,38.4,14.9,16.0,79.1,33.7,60.1,small
401–500,RMIT UniversityAustralia,31465,17.2,25%,47 : 53,36.9,24.2,20.5,53.3,38.4,87.1,large
